Año,Trimestre,Ingresos (miles de pesos),Periodo,dólar,Ingresos (miles de dólares)
2023,4,167376014,Oct-Dic 2023,940.0,178059
2023,3,133106593,Jul-Sept 2023,691.6666666666666,192443
2023,2,118060280,Jun-Mar 2023,481.8333333333333,245023
2022,4,72443482,Oct-Dic 2022,314.6666666666667,230222
2022,3,64086784,Jul-Sept 2022,289.1666666666667,221625
2022,2,60419500,Abr-Jun 2022,213.66666666666666,282774
2022,1,55219313,Ene-Mar 2022,206.5,267405
2021,4,45467887,Oct-Dic 2021,200.83333333333334,226396
2021,3,42999944,Jul-Sept 2021,181.33333333333334,237132
2021,2,38239666,Abr-Jun 2021,156.66666666666666,244082
2021,1,36676371,Ene-Mar 2021,145.16666666666666,252650
2020,4,33539702,Oct-Dic 2020,161.33333333333334,207890
2020,3,31997444,Jul-Sept 2020,137.5,232708
2020,2,32102475,Abr-Jun 2020,120.5,266410
2020,1,29946216,Ene-Mar 2020,79.08333333333333,378666
2019,4,24169250,Oct-Dic 2019,71.16666666666667,339614
2019,3,21652748,Jul-Sept 2019,56.15,385623
2019,2,20743117,Abr-Jun 2019,44.93333333333334,461642
2019,1,20207413,Ene-Mar 2019,39.803333333333335,507681
2018,4,16637686,Oct-Dic 2018,37.46,444145
2018,3,15410980,Jul-Sept 2018,34.99333333333333,440397
2018,2,14319467,Abr-Jun 2018,25.233333333333334,567482
2018,1,13171459,Ene-Mar 2018,20.296666666666667,648946
2017,4,11226127,Oct-Dic 2017,18.426666666666666,609232
2017,3,10065997,Jul-Sept 2017,18.05666666666667,557467
2017,2,9678646,Abr-Jun 2017,16.38,590881
2017,1,8701201,Ene-Mar 2017,16.28,534471
2016,4,7483980,Oct-Dic 2016,16.166666666666668,462926
2016,3,6912441,Jul-Sept 2016,15.506666666666666,445772
2016,2,6534240,Abr-Jun 2016,14.673333333333334,445313
2016,1,5936844,Ene-Mar 2016,15.023333333333333,395174
2015,4,5376899,Oct-Dic 2015,14.906666666666666,360704
2015,3,5153738,Jul-Sept 2015,15.44,333791
2015,2,4701790,Abr-Jun 2015,12.893333333333333,364668
2015,1,4876385,Ene-Mar 2015,13.053333333333333,373573
2014,4,3950440,Oct-Dic 2014,13.783333333333333,286609
2014,3,3478637,Jul-Sept 2014,14.136666666666665,246071
2014,2,3270816,Abr-Jun 2014,11.363333333333332,287839
2014,1,2984054,Ene-Mar 2014,11.533333333333333,258733
